theme,metric_name,value,unit,source_directory,source_file,notes
TAG DELAY,D_tag_LOO_p30_V5,32.98564490395356,mm,FULL_V5_followup_validation,tables/f6_final_comparison.csv,
STATIC ACCURACY,best_recalibrated_percentile_cell,51.967964830439904,mm,FULL_V5_followup_validation,tables/f4_percentile_recalibrated.csv,V4_CV4 p20
STATIC ACCURACY,bootstrap_median_3d_mean,56.980035432925305,mm,FULL_V5_overnight_batch2,tables/n6_bootstrap_ci.csv,
STATIC ACCURACY,bootstrap_median_3d_ci95_low,54.32221417665503,mm,FULL_V5_overnight_batch2,tables/n6_bootstrap_ci.csv,
STATIC ACCURACY,bootstrap_median_3d_ci95_high,63.74947450556645,mm,FULL_V5_overnight_batch2,tables/n6_bootstrap_ci.csv,
STATIC ACCURACY,bootstrap_rmse_mean,79.74367972561129,mm,FULL_V5_overnight_batch2,tables/n6_bootstrap_ci.csv,
STATIC ACCURACY,bootstrap_rmse_ci95_low,76.13187169396316,mm,FULL_V5_overnight_batch2,tables/n6_bootstrap_ci.csv,
STATIC ACCURACY,bootstrap_rmse_ci95_high,85.94714945150997,mm,FULL_V5_overnight_batch2,tables/n6_bootstrap_ci.csv,
STATIC ACCURACY,nested_cv_height_mean_test_median,82.9248283137559,mm,FULL_V5_batch3_falsification,tables/f1_nested_cv_summary.csv,
STATIC ACCURACY,nested_cv_quadrant_mean_test_median,88.04166953831984,mm,FULL_V5_batch3_falsification,tables/f1_nested_cv_summary.csv,
STATIC ACCURACY,nested_cv_spatial6_mean_test_median,94.24971154923936,mm,FULL_V5_batch3_falsification,tables/f1_nested_cv_summary.csv,
STATIC ACCURACY,mean_optimism_gap_honest_minus_apparent,9.568149640202272,mm,FULL_V5_batch3_falsification,tables/f2_optimism_summary.csv,
STATIC ACCURACY,std_optimism_gap,29.610120273850693,mm,FULL_V5_batch3_falsification,tables/f2_optimism_summary.csv,
STATIC ACCURACY,corrected_headline_v4_54p9,64.48614964020227,mm,FULL_V5_batch3_falsification,tables/f2_optimism_summary.csv,
STATIC ACCURACY,corrected_headline_v5_56p0,65.57914964020227,mm,FULL_V5_batch3_falsification,tables/f2_optimism_summary.csv,
TAG DELAY,V4_CV4_range_residual_tier_spread,11.769944229102038,mm,FULL_V5_extended_mechanism_ablations,tables/item04_nlos_excluded_dtag.csv,
TAG DELAY,V5_CV5_range_residual_tier_spread,7.44441095463543,mm,FULL_V5_extended_mechanism_ablations,tables/item04_nlos_excluded_dtag.csv,
CANCELLATION VALLEY,joint_morph_global_min_alpha,0.15,alpha,FULL_V5_extended_mechanism_ablations,tables/item06_morph_markers.csv,
CANCELLATION VALLEY,joint_morph_global_min_median,56.365467753849146,mm,FULL_V5_extended_mechanism_ablations,tables/item06_morph_markers.csv,
CANCELLATION VALLEY,profile_alpha_dtag_min_alpha,0.98,alpha,FULL_V5_batch3_falsification,tables/f3_profile_alpha_dtag.csv,
CANCELLATION VALLEY,profile_alpha_dtag_min_dtag,88.0,mm,FULL_V5_batch3_falsification,tables/f3_profile_alpha_dtag.csv,
CANCELLATION VALLEY,profile_alpha_dtag_min_median,72.60865783691406,mm,FULL_V5_batch3_falsification,tables/f3_profile_alpha_dtag.csv,
CANCELLATION VALLEY,nullspace_perturbation_ratio_median,0.26654862455007944,ratio,FULL_V5_batch3_falsification,tables/f4_perturbation_ratio.csv,
IDENTIFIABILITY,fisher_weakest_eigenvalue,1e-06,eigenvalue,FULL_V5_GPU_tier1,reports/task2_status.json,
NLOS,shapley_D,1242.8861577806022,score,FULL_V5_GPU_discovery,tables/task3_shapley_values.csv,
NLOS,shapley_F,1229.4412957418533,score,FULL_V5_GPU_discovery,tables/task3_shapley_values.csv,
NLOS,nlos_detector_random_split_pr_auc,0.9485277033169752,PR-AUC,FULL_V5_GPU_discovery,tables/task6_cv_results.csv,torch_mlp
NLOS,nlos_detector_leave_one_anchor_out_best_pr_auc,0.5480578449328449,PR-AUC,FULL_V5_batch3_falsification,tables/f5_nlos_splits.csv,logistic
NLOS,nlos_detector_leave_one_position_out_best_pr_auc,0.7456140350877193,PR-AUC,FULL_V5_batch3_falsification,tables/f5_nlos_splits.csv,mlp
NLOS,nlos_detector_leave_one_height_out_best_pr_auc,0.3716080931435208,PR-AUC,FULL_V5_batch3_falsification,tables/f5_nlos_splits.csv,logistic
NLOS,student_t_bic_winner,M2_student_t,model,FULL_V5_GPU_discovery,tables/task11_model_evidence.csv,
DYNAMIC ROTO,E_current_anchor_bridge_existing_beta_overall_median,101.48477739653228,mm,FULL_V5_roto_deepdive,tables/r2_alignment_summary.csv,
DYNAMIC ROTO,F_time_corrected_SE3_overall_median,82.51641444727665,mm,FULL_V5_roto_deepdive,tables/r2_alignment_summary.csv,
DYNAMIC ROTO,D_Sim3_existing_beta_overall_median,74.26356175882631,mm,FULL_V5_roto_deepdive,tables/r2_alignment_summary.csv,
DYNAMIC ROTO,roto_independent_median,101.0842005143932,mm,FULL_V5_roto_deepdive,tables/r3_joint_summary.csv,
DYNAMIC ROTO,roto_joint_projection_median,280.6019582729091,mm,FULL_V5_roto_deepdive,tables/r3_joint_summary.csv,
DYNAMIC ROTO,gap_D_tag mismatch,22.85996656553211,mm,FULL_V5_roto_deepdive,tables/r4_gap_decomposition.csv,
DYNAMIC ROTO,gap_Motion blur,6.39234421534392,mm,FULL_V5_roto_deepdive,tables/r4_gap_decomposition.csv,
DYNAMIC ROTO,gap_Time alignment recoverable,0.7164016763858854,mm,FULL_V5_roto_deepdive,tables/r4_gap_decomposition.csv,
DYNAMIC ROTO,gap_Range aggregation / dynamic single-frame,0.0,mm,FULL_V5_roto_deepdive,tables/r4_gap_decomposition.csv,
DYNAMIC ROTO,gap_Unexplained,15.505064939270362,mm,FULL_V5_roto_deepdive,tables/r4_gap_decomposition.csv,
DYNAMIC ROTO,gap_TOTAL static-to-dynamic gap,45.47377739653228,mm,FULL_V5_roto_deepdive,tables/r4_gap_decomposition.csv,
TRANSFERABILITY,mc_P_V5_lt_V4_corrected_adversarial,0.3,probability,FULL_V5_overnight_batch2,tables/n1_adversarial_rooms.csv,
TRANSFERABILITY,aa_at_mean_asymmetry,-4.664114889518814,mm,FULL_V5_GPU_discovery,tables/task4_asymmetry_summary.csv,
IDENTIFIABILITY,anchor_count_4_redundancy,-4.0,count,FULL_V5_mechanistic_deepdive,tables/m5_identifiability_table.csv,
IDENTIFIABILITY,anchor_count_4_mean_median_3d,141.46838925386066,mm,FULL_V5_mechanistic_deepdive,tables/m5_identifiability_table.csv,
IDENTIFIABILITY,anchor_count_5_redundancy,-4.0,count,FULL_V5_mechanistic_deepdive,tables/m5_identifiability_table.csv,
IDENTIFIABILITY,anchor_count_5_mean_median_3d,108.97585840358236,mm,FULL_V5_mechanistic_deepdive,tables/m5_identifiability_table.csv,
IDENTIFIABILITY,anchor_count_6_redundancy,-3.0,count,FULL_V5_mechanistic_deepdive,tables/m5_identifiability_table.csv,
IDENTIFIABILITY,anchor_count_6_mean_median_3d,89.76991030880558,mm,FULL_V5_mechanistic_deepdive,tables/m5_identifiability_table.csv,
IDENTIFIABILITY,anchor_count_7_redundancy,-1.0,count,FULL_V5_mechanistic_deepdive,tables/m5_identifiability_table.csv,
IDENTIFIABILITY,anchor_count_7_mean_median_3d,79.50112868398043,mm,FULL_V5_mechanistic_deepdive,tables/m5_identifiability_table.csv,
IDENTIFIABILITY,anchor_count_8_redundancy,2.0,count,FULL_V5_mechanistic_deepdive,tables/m5_identifiability_table.csv,
IDENTIFIABILITY,anchor_count_8_mean_median_3d,68.73280887712593,mm,FULL_V5_mechanistic_deepdive,tables/m5_identifiability_table.csv,
IDENTIFIABILITY,anchor_count_9_redundancy,6.0,count,FULL_V5_mechanistic_deepdive,tables/m5_identifiability_table.csv,
IDENTIFIABILITY,anchor_count_9_mean_median_3d,60.66535924468193,mm,FULL_V5_mechanistic_deepdive,tables/m5_identifiability_table.csv,
ERROR DECOMPOSITION,V4+C_V4+D_LOO_mean_signed_radial,-7.753639229517627,mm,FULL_V5_paper_strengthening,tables/p1_signed_radial_summary.csv,
ERROR DECOMPOSITION,V5+C_V5+D_LOO_mean_signed_radial,-4.834622887491421,mm,FULL_V5_paper_strengthening,tables/p1_signed_radial_summary.csv,
ERROR DECOMPOSITION,Vicon+C_cm+D_LOO_mean_signed_radial,-5.094716962162548,mm,FULL_V5_paper_strengthening,tables/p1_signed_radial_summary.csv,
ERROR DECOMPOSITION,strongest_ei_correlation_predictor,layer_binary,name,FULL_V5_paper_strengthening,tables/p2_ei_correlations.csv,
ERROR DECOMPOSITION,strongest_ei_correlation_r,-0.4598901872672946,r,FULL_V5_paper_strengthening,tables/p2_ei_correlations.csv,
