filepath,column_name,dtype,description_guess,used_in_analysis,analysis_reference_count,notes
/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/roto_R01-Static-middle-test_BS2DCE_BSDC91_120s_20260528_124654/tag_capture_20260528_124654/BS2DCE/tr.csv,peer_name,str,tag peer name,no,4,nulls_in_file=0
/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/roto_R01-Static-middle-test_BS2DCE_BSDC91_120s_20260528_124654/tag_capture_20260528_124654/BS2DCE/tr.csv,tag_id,float64,tag identifier; empty in these captures,no,2,nulls_in_file=9600
/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/roto_R01-Static-middle-test_BS2DCE_BSDC91_120s_20260528_124654/tag_capture_20260528_124654/BS2DCE/tr.csv,plan,str,ranging plan/mode label,no,70,nulls_in_file=0
/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/roto_R01-Static-middle-test_BS2DCE_BSDC91_120s_20260528_124654/tag_capture_20260528_124654/BS2DCE/tr.csv,pmode,int64,plan mode integer,no,1,nulls_in_file=0
/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/roto_R01-Static-middle-test_BS2DCE_BSDC91_120s_20260528_124654/tag_capture_20260528_124654/BS2DCE/tr.csv,anchor_id,int64,anchor index 0-7,yes,164,core tr_all input used in prior positioning scripts; nulls_in_file=0
/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/roto_R01-Static-middle-test_BS2DCE_BSDC91_120s_20260528_124654/tag_capture_20260528_124654/BS2DCE/tr.csv,raw_mm,int64,raw range in millimetres before host-level adjustment,no,19,final audit compares to range_mm; nulls_in_file=0
/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/roto_R01-Static-middle-test_BS2DCE_BSDC91_120s_20260528_124654/tag_capture_20260528_124654/BS2DCE/tr.csv,range_mm,int64,range in millimetres used by positioning analyses,yes,54,core tr_all input used in prior positioning scripts; nulls_in_file=0
/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/roto_R01-Static-middle-test_BS2DCE_BSDC91_120s_20260528_124654/tag_capture_20260528_124654/BS2DCE/tr.csv,quality_percent,int64,DW1000 quality percent,yes,24,used in three-dimensions quality audit; saturated at 100 for most frames; nulls_in_file=0
/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/roto_R01-Static-middle-test_BS2DCE_BSDC91_120s_20260528_124654/tag_capture_20260528_124654/BS2DCE/tr.csv,valid,int64,valid-row flag,yes,125,core tr_all input used in prior positioning scripts; nulls_in_file=0
/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/roto_R01-Static-middle-test_BS2DCE_BSDC91_120s_20260528_124654/tag_capture_20260528_124654/BS2DCE/tr.csv,status,str,ranging status,no,361,nulls_in_file=0
/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/roto_R01-Static-middle-test_BS2DCE_BSDC91_120s_20260528_124654/tag_capture_20260528_124654/BS2DCE/tr.csv,quality_flag_percent,int64,quality warning flag percentage,no,2,telemetry field is constant zero in static captures; nulls_in_file=0
/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/roto_R01-Static-middle-test_BS2DCE_BSDC91_120s_20260528_124654/tag_capture_20260528_124654/BS2DCE/tr.csv,first_to_last_us,int64,packet timing span; zero in these captures,no,2,telemetry field is constant zero in static captures; nulls_in_file=0
/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/roto_R01-Static-middle-test_BS2DCE_BSDC91_120s_20260528_124654/tag_capture_20260528_124654/BS2DCE/tr.csv,frame_us,int64,frame duration; zero in these captures,no,1,telemetry field is constant zero in static captures; nulls_in_file=0
/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/roto_R01-Static-middle-test_BS2DCE_BSDC91_120s_20260528_124654/tag_capture_20260528_124654/BS2DCE/tr.csv,poll_count,int64,poll count; zero in these captures,no,1,telemetry field is constant zero in static captures; nulls_in_file=0
/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/roto_R01-Static-middle-test_BS2DCE_BSDC91_120s_20260528_124654/tag_capture_20260528_124654/BS2DCE/tr.csv,tr_version,int64,tag ranging protocol version,no,1,nulls_in_file=0
/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/roto_R01-Static-middle-test_BS2DCE_BSDC91_120s_20260528_124654/tag_capture_20260528_124654/BS2DCE/tr.csv,rx_mask,float64,receive mask; all null in these captures,no,1,telemetry field is all null in static captures; nulls_in_file=9600
/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/roto_R01-Static-middle-test_BS2DCE_BSDC91_120s_20260528_124654/tag_capture_20260528_124654/BS2DCE/tr.csv,air_us,float64,air time; all null in these captures,no,1,telemetry field is all null in static captures; nulls_in_file=9600
/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/roto_R01-Static-middle-test_BS2DCE_BSDC91_120s_20260528_124654/tag_capture_20260528_124654/BS2DCE/tr.csv,post_us,float64,post-processing time; all null in these captures,no,1,telemetry field is all null in static captures; nulls_in_file=9600
/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/roto_R01-Static-middle-test_BS2DCE_BSDC91_120s_20260528_124654/tag_capture_20260528_124654/BS2DCE/tr.csv,cycle_us,float64,cycle time; all null in these captures,no,1,telemetry field is all null in static captures; nulls_in_file=9600
/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/roto_R01-Static-middle-test_BS2DCE_BSDC91_120s_20260528_124654/tag_capture_20260528_124654/BS2DCE/tr.csv,rx_seen,float64,receive-seen flag; all null in these captures,no,1,telemetry field is all null in static captures; nulls_in_file=9600
/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/roto_R01-Static-middle-test_BS2DCE_BSDC91_120s_20260528_124654/tag_capture_20260528_124654/BS2DCE/tr.csv,imu_valid,int64,IMU validity flag,no,1,final audit checks IMU availability/static movement; nulls_in_file=0
/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/roto_R01-Static-middle-test_BS2DCE_BSDC91_120s_20260528_124654/tag_capture_20260528_124654/BS2DCE/tr.csv,imu_n,int64,number of IMU samples aggregated into row,no,1,final audit checks IMU availability/static movement; nulls_in_file=0
/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/roto_R01-Static-middle-test_BS2DCE_BSDC91_120s_20260528_124654/tag_capture_20260528_124654/BS2DCE/tr.csv,acc_norm_mean_mg,float64,accelerometer norm mean in mg,no,3,final audit checks IMU availability/static movement; nulls_in_file=9600
/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/roto_R01-Static-middle-test_BS2DCE_BSDC91_120s_20260528_124654/tag_capture_20260528_124654/BS2DCE/tr.csv,acc_norm_std_mg,float64,accelerometer norm std in mg,no,6,final audit checks IMU availability/static movement; nulls_in_file=9600
/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/roto_R01-Static-middle-test_BS2DCE_BSDC91_120s_20260528_124654/tag_capture_20260528_124654/BS2DCE/tr.csv,acc_norm_min_mg,float64,accelerometer norm min in mg,no,1,final audit checks IMU availability/static movement; nulls_in_file=9600
/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/roto_R01-Static-middle-test_BS2DCE_BSDC91_120s_20260528_124654/tag_capture_20260528_124654/BS2DCE/tr.csv,acc_norm_max_mg,float64,accelerometer norm max in mg,no,1,final audit checks IMU availability/static movement; nulls_in_file=9600
/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/roto_R01-Static-middle-test_BS2DCE_BSDC91_120s_20260528_124654/tag_capture_20260528_124654/BS2DCE/tr.csv,imu_skip_count,int64,IMU samples skipped,no,1,final audit checks IMU availability/static movement; nulls_in_file=0
/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/roto_R01-Static-middle-test_BS2DCE_BSDC91_120s_20260528_124654/tag_capture_20260528_124654/BSDC91/tr.csv,host_elapsed_s,float64,capture-relative host timestamp in seconds,yes,35,time/sweep structure checked in prior temporal work or final audit; nulls_in_file=0
/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/roto_R01-Static-middle-test_BS2DCE_BSDC91_120s_20260528_124654/tag_capture_20260528_124654/BSDC91/tr.csv,host_epoch_s,float64,absolute host epoch timestamp in seconds,yes,28,nulls_in_file=0
/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/roto_R01-Static-middle-test_BS2DCE_BSDC91_120s_20260528_124654/tag_capture_20260528_124654/BSDC91/tr.csv,sweep,int64,DW1000 sweep/frame counter,no,208,time/sweep structure checked in prior temporal work or final audit; nulls_in_file=0
/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/roto_R01-Static-middle-test_BS2DCE_BSDC91_120s_20260528_124654/tag_capture_20260528_124654/BSDC91/tr.csv,conn_id,float64,connection identifier; empty in static captures,no,1,nulls_in_file=9608
/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/roto_R01-Static-middle-test_BS2DCE_BSDC91_120s_20260528_124654/tag_capture_20260528_124654/BSDC91/tr.csv,peer_name,str,tag peer name,no,4,nulls_in_file=0
/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/roto_R01-Static-middle-test_BS2DCE_BSDC91_120s_20260528_124654/tag_capture_20260528_124654/BSDC91/tr.csv,tag_id,float64,tag identifier; empty in these captures,no,2,nulls_in_file=9608
/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/roto_R01-Static-middle-test_BS2DCE_BSDC91_120s_20260528_124654/tag_capture_20260528_124654/BSDC91/tr.csv,plan,str,ranging plan/mode label,no,70,nulls_in_file=0
/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/roto_R01-Static-middle-test_BS2DCE_BSDC91_120s_20260528_124654/tag_capture_20260528_124654/BSDC91/tr.csv,pmode,int64,plan mode integer,no,1,nulls_in_file=0
/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/roto_R01-Static-middle-test_BS2DCE_BSDC91_120s_20260528_124654/tag_capture_20260528_124654/BSDC91/tr.csv,anchor_id,int64,anchor index 0-7,yes,164,core tr_all input used in prior positioning scripts; nulls_in_file=0
/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/roto_R01-Static-middle-test_BS2DCE_BSDC91_120s_20260528_124654/tag_capture_20260528_124654/BSDC91/tr.csv,raw_mm,int64,raw range in millimetres before host-level adjustment,no,19,final audit compares to range_mm; nulls_in_file=0
/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/roto_R01-Static-middle-test_BS2DCE_BSDC91_120s_20260528_124654/tag_capture_20260528_124654/BSDC91/tr.csv,range_mm,int64,range in millimetres used by positioning analyses,yes,54,core tr_all input used in prior positioning scripts; nulls_in_file=0
/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/roto_R01-Static-middle-test_BS2DCE_BSDC91_120s_20260528_124654/tag_capture_20260528_124654/BSDC91/tr.csv,quality_percent,int64,DW1000 quality percent,yes,24,used in three-dimensions quality audit; saturated at 100 for most frames; nulls_in_file=0
/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/roto_R01-Static-middle-test_BS2DCE_BSDC91_120s_20260528_124654/tag_capture_20260528_124654/BSDC91/tr.csv,valid,int64,valid-row flag,yes,125,core tr_all input used in prior positioning scripts; nulls_in_file=0
/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/roto_R01-Static-middle-test_BS2DCE_BSDC91_120s_20260528_124654/tag_capture_20260528_124654/BSDC91/tr.csv,status,str,ranging status,no,361,nulls_in_file=0
/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/roto_R01-Static-middle-test_BS2DCE_BSDC91_120s_20260528_124654/tag_capture_20260528_124654/BSDC91/tr.csv,quality_flag_percent,int64,quality warning flag percentage,no,2,telemetry field is constant zero in static captures; nulls_in_file=0
/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/roto_R01-Static-middle-test_BS2DCE_BSDC91_120s_20260528_124654/tag_capture_20260528_124654/BSDC91/tr.csv,first_to_last_us,int64,packet timing span; zero in these captures,no,2,telemetry field is constant zero in static captures; nulls_in_file=0
/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/roto_R01-Static-middle-test_BS2DCE_BSDC91_120s_20260528_124654/tag_capture_20260528_124654/BSDC91/tr.csv,frame_us,int64,frame duration; zero in these captures,no,1,telemetry field is constant zero in static captures; nulls_in_file=0
/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/roto_R01-Static-middle-test_BS2DCE_BSDC91_120s_20260528_124654/tag_capture_20260528_124654/BSDC91/tr.csv,poll_count,int64,poll count; zero in these captures,no,1,telemetry field is constant zero in static captures; nulls_in_file=0
/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/roto_R01-Static-middle-test_BS2DCE_BSDC91_120s_20260528_124654/tag_capture_20260528_124654/BSDC91/tr.csv,tr_version,int64,tag ranging protocol version,no,1,nulls_in_file=0
/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/roto_R01-Static-middle-test_BS2DCE_BSDC91_120s_20260528_124654/tag_capture_20260528_124654/BSDC91/tr.csv,rx_mask,float64,receive mask; all null in these captures,no,1,telemetry field is all null in static captures; nulls_in_file=9608
/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/roto_R01-Static-middle-test_BS2DCE_BSDC91_120s_20260528_124654/tag_capture_20260528_124654/BSDC91/tr.csv,air_us,float64,air time; all null in these captures,no,1,telemetry field is all null in static captures; nulls_in_file=9608
/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/roto_R01-Static-middle-test_BS2DCE_BSDC91_120s_20260528_124654/tag_capture_20260528_124654/BSDC91/tr.csv,post_us,float64,post-processing time; all null in these captures,no,1,telemetry field is all null in static captures; nulls_in_file=9608
/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/roto_R01-Static-middle-test_BS2DCE_BSDC91_120s_20260528_124654/tag_capture_20260528_124654/BSDC91/tr.csv,cycle_us,float64,cycle time; all null in these captures,no,1,telemetry field is all null in static captures; nulls_in_file=9608
/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/roto_R01-Static-middle-test_BS2DCE_BSDC91_120s_20260528_124654/tag_capture_20260528_124654/BSDC91/tr.csv,rx_seen,float64,receive-seen flag; all null in these captures,no,1,telemetry field is all null in static captures; nulls_in_file=9608
/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/roto_R01-Static-middle-test_BS2DCE_BSDC91_120s_20260528_124654/tag_capture_20260528_124654/BSDC91/tr.csv,imu_valid,int64,IMU validity flag,no,1,final audit checks IMU availability/static movement; nulls_in_file=0
/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/roto_R01-Static-middle-test_BS2DCE_BSDC91_120s_20260528_124654/tag_capture_20260528_124654/BSDC91/tr.csv,imu_n,int64,number of IMU samples aggregated into row,no,1,final audit checks IMU availability/static movement; nulls_in_file=0
/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/roto_R01-Static-middle-test_BS2DCE_BSDC91_120s_20260528_124654/tag_capture_20260528_124654/BSDC91/tr.csv,acc_norm_mean_mg,float64,accelerometer norm mean in mg,no,3,final audit checks IMU availability/static movement; nulls_in_file=9608
/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/roto_R01-Static-middle-test_BS2DCE_BSDC91_120s_20260528_124654/tag_capture_20260528_124654/BSDC91/tr.csv,acc_norm_std_mg,float64,accelerometer norm std in mg,no,6,final audit checks IMU availability/static movement; nulls_in_file=9608
/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/roto_R01-Static-middle-test_BS2DCE_BSDC91_120s_20260528_124654/tag_capture_20260528_124654/BSDC91/tr.csv,acc_norm_min_mg,float64,accelerometer norm min in mg,no,1,final audit checks IMU availability/static movement; nulls_in_file=9608
/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/roto_R01-Static-middle-test_BS2DCE_BSDC91_120s_20260528_124654/tag_capture_20260528_124654/BSDC91/tr.csv,acc_norm_max_mg,float64,accelerometer norm max in mg,no,1,final audit checks IMU availability/static movement; nulls_in_file=9608
/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/roto_R01-Static-middle-test_BS2DCE_BSDC91_120s_20260528_124654/tag_capture_20260528_124654/BSDC91/tr.csv,imu_skip_count,int64,IMU samples skipped,no,1,final audit checks IMU availability/static movement; nulls_in_file=0
/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/roto_R01-Static-middle-test_BS2DCE_BSDC91_120s_20260528_124654/tag_capture_20260528_124654/commands.json,mode,str,schema-derived column,yes,866,nulls_in_file=0
/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/roto_R01-Static-middle-test_BS2DCE_BSDC91_120s_20260528_124654/tag_capture_20260528_124654/commands.json,device_kind,str,schema-derived column,no,0,nulls_in_file=0
/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/roto_R01-Static-middle-test_BS2DCE_BSDC91_120s_20260528_124654/tag_capture_20260528_124654/commands.json,targets,list,schema-derived column,yes,9,nulls_in_file=0
/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/roto_R01-Static-middle-test_BS2DCE_BSDC91_120s_20260528_124654/tag_capture_20260528_124654/commands.json,expected_pmode,dict,schema-derived column,no,0,nulls_in_file=0
/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/roto_R01-Static-middle-test_BS2DCE_BSDC91_120s_20260528_124654/tag_capture_20260528_124654/commands.json,expected_freq_hz,dict,schema-derived column,no,0,nulls_in_file=0
/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/roto_R01-Static-middle-test_BS2DCE_BSDC91_120s_20260528_124654/tag_capture_20260528_124654/commands.json,freq_hz,dict,schema-derived column,no,0,nulls_in_file=0
/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/roto_R01-Static-middle-test_BS2DCE_BSDC91_120s_20260528_124654/tag_capture_20260528_124654/commands.json,duration_s,float,schema-derived column,yes,15,nulls_in_file=0
/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/roto_R01-Static-middle-test_BS2DCE_BSDC91_120s_20260528_124654/tag_capture_20260528_124654/commands.json,known_bs_tags,list,schema-derived column,no,0,nulls_in_file=0
/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/roto_R01-Static-middle-test_BS2DCE_BSDC91_120s_20260528_124654/tag_capture_20260528_124654/commands.json,silence_non_target_tags,bool,schema-derived column,no,0,nulls_in_file=0
/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/roto_R01-Static-middle-test_BS2DCE_BSDC91_120s_20260528_124654/tag_capture_20260528_124654/commands.json,non_target_silence_tags,list,schema-derived column,no,0,nulls_in_file=0
