event_id,onset_s,end_s,onset_wall,duration_s,nodes,classification,imu_evidence,uwb_evidence,listener_evidence,confidence,competing_explanation
E011,676,677,T0+676.000s,1,"BSF3C79,BSFC2CC,BSF44AD,BSF8BC4,BSF1120,BSF31CC,BSFAA61,BSFB165,BSFEC35",TABLE_COMMON_MODE_VIBRATION,6/9 table nodes exceed robust gyro activity,no persistent multi-anchor platform required,deduplicated LPD mean=3.667 Hz over named nodes; Listener is diagnostic only,HIGH,simultaneous operator contact
E012,703,704,T0+703.000s,1,"BSF3C79,BSFC2CC,BSF44AD,BSF8BC4,BSF1120,BSF31CC,BSFAA61,BSFB165,BSFEC35",TABLE_COMMON_MODE_VIBRATION,6/9 table nodes exceed robust gyro activity,no persistent multi-anchor platform required,deduplicated LPD mean=3.500 Hz over named nodes; Listener is diagnostic only,HIGH,simultaneous operator contact
E013,707,708,T0+707.000s,1,"BSF3C79,BSFC2CC,BSF44AD,BSF8BC4,BSF1120,BSF31CC,BSFAA61,BSFB165,BSFEC35",TABLE_COMMON_MODE_VIBRATION,7/9 table nodes exceed robust gyro activity,no persistent multi-anchor platform required,deduplicated LPD mean=3.556 Hz over named nodes; Listener is diagnostic only,HIGH,simultaneous operator contact
E014,710,711,T0+710.000s,1,"BSF3C79,BSFC2CC,BSF44AD,BSF8BC4,BSF1120,BSF31CC,BSFAA61,BSFB165,BSFEC35",TABLE_COMMON_MODE_VIBRATION,5/9 table nodes exceed robust gyro activity,no persistent multi-anchor platform required,deduplicated LPD mean=3.556 Hz over named nodes; Listener is diagnostic only,HIGH,simultaneous operator contact
E015,759,760,T0+759.000s,1,"BSF3C79,BSFC2CC,BSF44AD,BSF8BC4,BSF1120,BSF31CC,BSFAA61,BSFB165,BSFEC35",TABLE_COMMON_MODE_VIBRATION,5/9 table nodes exceed robust gyro activity,no persistent multi-anchor platform required,deduplicated LPD mean=3.944 Hz over named nodes; Listener is diagnostic only,HIGH,simultaneous operator contact
E016,775,776,T0+775.000s,1,"BSF3C79,BSFC2CC,BSF44AD,BSF8BC4,BSF1120,BSF31CC,BSFAA61,BSFB165,BSFEC35",TABLE_COMMON_MODE_VIBRATION,5/9 table nodes exceed robust gyro activity,no persistent multi-anchor platform required,deduplicated LPD mean=4.167 Hz over named nodes; Listener is diagnostic only,HIGH,simultaneous operator contact
E017,831,832,T0+831.000s,1,"BSF3C79,BSFC2CC,BSF44AD,BSF8BC4,BSF1120,BSF31CC,BSFAA61,BSFB165,BSFEC35",TABLE_COMMON_MODE_VIBRATION,9/9 table nodes exceed robust gyro activity,no persistent multi-anchor platform required,deduplicated LPD mean=4.000 Hz over named nodes; Listener is diagnostic only,HIGH,simultaneous operator contact
E018,845,850,T0+845.000s,5,BSFC2CC,UWB_RF_VISIBILITY_CHANGE,no coincident large gyro activity or gravity-platform change,"dominant single-link shift 658.5 mm; delta=3.0,7.8,-581.5,20.2,-7.0,0.0,-658.5,13.8 mm",deduplicated LPD mean=0.167 Hz over named nodes; Listener is diagnostic only,MEDIUM,temporary occlusion or multipath; no geometry-based position claim
E019,881,882,T0+881.000s,1,"BSF3C79,BSFC2CC,BSF44AD,BSF8BC4,BSF1120,BSF31CC,BSFAA61,BSFB165,BSFEC35",TABLE_COMMON_MODE_VIBRATION,8/9 table nodes exceed robust gyro activity,no persistent multi-anchor platform required,deduplicated LPD mean=4.000 Hz over named nodes; Listener is diagnostic only,HIGH,simultaneous operator contact
E020,893,894,T0+893.000s,1,"BSF3C79,BSFC2CC,BSF44AD,BSF8BC4,BSF1120,BSF31CC,BSFAA61,BSFB165,BSFEC35",TABLE_COMMON_MODE_VIBRATION,6/9 table nodes exceed robust gyro activity,no persistent multi-anchor platform required,deduplicated LPD mean=3.778 Hz over named nodes; Listener is diagnostic only,HIGH,simultaneous operator contact
E021,907,908,T0+907.000s,1,"BSF3C79,BSFC2CC,BSF44AD,BSF8BC4,BSF1120,BSF31CC,BSFAA61,BSFB165,BSFEC35",TABLE_COMMON_MODE_VIBRATION,9/9 table nodes exceed robust gyro activity,no persistent multi-anchor platform required,deduplicated LPD mean=3.611 Hz over named nodes; Listener is diagnostic only,HIGH,simultaneous operator contact
E022,916,921,T0+916.000s,5,BSFEC35,UWB_RF_VISIBILITY_CHANGE,no coincident large gyro activity or gravity-platform change,"dominant single-link shift 494.8 mm; delta=494.8,-6.2,29.8,-5.5,-29.0,-6.5,5.2,-29.0 mm",deduplicated LPD mean=1.500 Hz over named nodes; Listener is diagnostic only,MEDIUM,temporary occlusion or multipath; no geometry-based position claim
E023,939,944,T0+939.000s,5,BSF6C53,UWB_RF_VISIBILITY_CHANGE,no coincident large gyro activity or gravity-platform change,"dominant single-link shift 413.5 mm; delta=-4.2,-413.5,-12.2,-6.0,1.5,49.0,6.2,-0.2 mm",deduplicated LPD mean=8.333 Hz over named nodes; Listener is diagnostic only,MEDIUM,temporary occlusion or multipath; no geometry-based position claim
E024,954,959,T0+954.000s,5,BSF3C79,UWB_RF_VISIBILITY_CHANGE,no coincident large gyro activity or gravity-platform change,"dominant single-link shift 675.8 mm; delta=-0.8,675.8,-3.5,-6.5,5.0,27.8,-8.0,2.5 mm",deduplicated LPD mean=8.333 Hz over named nodes; Listener is diagnostic only,MEDIUM,temporary occlusion or multipath; no geometry-based position claim
E025,964,966,T0+964.000s,2,"BSF3C79,BSFC2CC,BSF44AD,BSF8BC4,BSF1120,BSF31CC,BSFAA61,BSFB165,BSFEC35",TABLE_COMMON_MODE_VIBRATION,9/9 table nodes exceed robust gyro activity,no persistent multi-anchor platform required,deduplicated LPD mean=4.111 Hz over named nodes; Listener is diagnostic only,HIGH,simultaneous operator contact
E026,967,968,T0+967.000s,1,"BSF3C79,BSFC2CC,BSF44AD,BSF8BC4,BSF1120,BSF31CC,BSFAA61,BSFB165,BSFEC35",TABLE_COMMON_MODE_VIBRATION,9/9 table nodes exceed robust gyro activity,no persistent multi-anchor platform required,deduplicated LPD mean=3.667 Hz over named nodes; Listener is diagnostic only,HIGH,simultaneous operator contact
E027,967,972,T0+967.000s,5,BSF1120,UWB_RF_VISIBILITY_CHANGE,no coincident large gyro activity or gravity-platform change,"dominant single-link shift 498.5 mm; delta=-7.8,-12.8,498.5,-58.0,-1.5,16.5,21.2,-15.5 mm",deduplicated LPD mean=8.333 Hz over named nodes; Listener is diagnostic only,MEDIUM,temporary occlusion or multipath; no geometry-based position claim
E028,1050,1051,T0+1050.000s,1,"BSF3C79,BSFC2CC,BSF44AD,BSF8BC4,BSF1120,BSF31CC,BSFAA61,BSFB165,BSFEC35",TABLE_COMMON_MODE_VIBRATION,7/9 table nodes exceed robust gyro activity,no persistent multi-anchor platform required,deduplicated LPD mean=3.944 Hz over named nodes; Listener is diagnostic only,HIGH,simultaneous operator contact
E029,1062,1067,T0+1062.000s,5,BSF6C53,UWB_RF_VISIBILITY_CHANGE,no coincident large gyro activity or gravity-platform change,"dominant single-link shift 381.0 mm; delta=1.8,381.0,11.0,-3.2,-0.5,1.2,-4.8,6.2 mm",deduplicated LPD mean=8.167 Hz over named nodes; Listener is diagnostic only,MEDIUM,temporary occlusion or multipath; no geometry-based position claim
E030,1088,1093,T0+1088.000s,5,BSFAA61,UWB_RF_VISIBILITY_CHANGE,no coincident large gyro activity or gravity-platform change,"dominant single-link shift 537.0 mm; delta=-4.5,8.8,25.5,15.5,6.5,12.8,537.0,11.0 mm",deduplicated LPD mean=0.500 Hz over named nodes; Listener is diagnostic only,MEDIUM,temporary occlusion or multipath; no geometry-based position claim
E031,1118,1119,T0+1118.000s,1,"BSF3C79,BSFC2CC,BSF44AD,BSF8BC4,BSF1120,BSF31CC,BSFAA61,BSFB165,BSFEC35",TABLE_COMMON_MODE_VIBRATION,7/9 table nodes exceed robust gyro activity,no persistent multi-anchor platform required,deduplicated LPD mean=3.556 Hz over named nodes; Listener is diagnostic only,HIGH,simultaneous operator contact
E032,1137,1142,T0+1137.000s,5,BSF31CC,UWB_RF_VISIBILITY_CHANGE,no coincident large gyro activity or gravity-platform change,"dominant single-link shift 318.2 mm; delta=-12.0,118.8,-11.5,-1.0,-8.5,-318.2,-73.8,10.0 mm",deduplicated LPD mean=1.167 Hz over named nodes; Listener is diagnostic only,MEDIUM,temporary occlusion or multipath; no geometry-based position claim
E033,1183,1186,T0+1183.000s,3,"BSF3C79,BSFC2CC,BSF44AD,BSF8BC4,BSF1120,BSF31CC,BSFAA61,BSFB165,BSFEC35",TABLE_COMMON_MODE_VIBRATION,7/9 table nodes exceed robust gyro activity,no persistent multi-anchor platform required,deduplicated LPD mean=3.611 Hz over named nodes; Listener is diagnostic only,HIGH,simultaneous operator contact
E034,1195,1196,T0+1195.000s,1,"BSF3C79,BSFC2CC,BSF44AD,BSF8BC4,BSF1120,BSF31CC,BSFAA61,BSFB165,BSFEC35",TABLE_COMMON_MODE_VIBRATION,5/9 table nodes exceed robust gyro activity,no persistent multi-anchor platform required,deduplicated LPD mean=3.722 Hz over named nodes; Listener is diagnostic only,HIGH,simultaneous operator contact
E035,1210,1211,T0+1210.000s,1,"BSF3C79,BSFC2CC,BSF44AD,BSF8BC4,BSF1120,BSF31CC,BSFAA61,BSFB165,BSFEC35",TABLE_COMMON_MODE_VIBRATION,8/9 table nodes exceed robust gyro activity,no persistent multi-anchor platform required,deduplicated LPD mean=3.833 Hz over named nodes; Listener is diagnostic only,HIGH,simultaneous operator contact
E036,1214,1216,T0+1214.000s,2,"BSF3C79,BSFC2CC,BSF44AD,BSF8BC4,BSF1120,BSF31CC,BSFAA61,BSFB165,BSFEC35",TABLE_COMMON_MODE_VIBRATION,9/9 table nodes exceed robust gyro activity,no persistent multi-anchor platform required,deduplicated LPD mean=3.593 Hz over named nodes; Listener is diagnostic only,HIGH,simultaneous operator contact
E037,1233,1234,T0+1233.000s,1,"BSF3C79,BSFC2CC,BSF44AD,BSF8BC4,BSF1120,BSF31CC,BSFAA61,BSFB165,BSFEC35",TABLE_COMMON_MODE_VIBRATION,9/9 table nodes exceed robust gyro activity,no persistent multi-anchor platform required,deduplicated LPD mean=3.889 Hz over named nodes; Listener is diagnostic only,HIGH,simultaneous operator contact
E038,1237,1238,T0+1237.000s,1,"BSF3C79,BSFC2CC,BSF44AD,BSF8BC4,BSF1120,BSF31CC,BSFAA61,BSFB165,BSFEC35",TABLE_COMMON_MODE_VIBRATION,9/9 table nodes exceed robust gyro activity,no persistent multi-anchor platform required,deduplicated LPD mean=3.833 Hz over named nodes; Listener is diagnostic only,HIGH,simultaneous operator contact
E039,1257,1262,T0+1257.000s,5,BSF8BC4,UWB_RF_VISIBILITY_CHANGE,no coincident large gyro activity or gravity-platform change,"dominant single-link shift 502.8 mm; delta=-502.8,11.5,33.8,-5.2,2.2,-8.2,0.8,-11.0 mm",deduplicated LPD mean=8.333 Hz over named nodes; Listener is diagnostic only,MEDIUM,temporary occlusion or multipath; no geometry-based position claim
E040,1268,1269,T0+1268.000s,1,"BSF3C79,BSFC2CC,BSF44AD,BSF8BC4,BSF1120,BSF31CC,BSFAA61,BSFB165,BSFEC35",TABLE_COMMON_MODE_VIBRATION,5/9 table nodes exceed robust gyro activity,no persistent multi-anchor platform required,deduplicated LPD mean=3.611 Hz over named nodes; Listener is diagnostic only,HIGH,simultaneous operator contact
E041,1275,1276,T0+1275.000s,1,"BSF3C79,BSFC2CC,BSF44AD,BSF8BC4,BSF1120,BSF31CC,BSFAA61,BSFB165,BSFEC35",TABLE_COMMON_MODE_VIBRATION,9/9 table nodes exceed robust gyro activity,no persistent multi-anchor platform required,deduplicated LPD mean=3.556 Hz over named nodes; Listener is diagnostic only,HIGH,simultaneous operator contact
E042,1278,1279,T0+1278.000s,1,"BSF3C79,BSFC2CC,BSF44AD,BSF8BC4,BSF1120,BSF31CC,BSFAA61,BSFB165,BSFEC35",TABLE_COMMON_MODE_VIBRATION,8/9 table nodes exceed robust gyro activity,no persistent multi-anchor platform required,deduplicated LPD mean=3.944 Hz over named nodes; Listener is diagnostic only,HIGH,simultaneous operator contact
E043,1344,1345,T0+1344.000s,1,"BSF3C79,BSFC2CC,BSF44AD,BSF8BC4,BSF1120,BSF31CC,BSFAA61,BSFB165,BSFEC35",TABLE_COMMON_MODE_VIBRATION,5/9 table nodes exceed robust gyro activity,no persistent multi-anchor platform required,deduplicated LPD mean=3.889 Hz over named nodes; Listener is diagnostic only,HIGH,simultaneous operator contact
E044,1364,1369,T0+1364.000s,5,BSFC2CC,UWB_RF_VISIBILITY_CHANGE,no coincident large gyro activity or gravity-platform change,"dominant single-link shift 567.2 mm; delta=-2.8,14.5,567.2,5.0,11.0,10.5,-98.8,87.5 mm",deduplicated LPD mean=0.000 Hz over named nodes; Listener is diagnostic only,MEDIUM,temporary occlusion or multipath; no geometry-based position claim
E045,1440,1444,T0+1440.000s,4,"BSF3C79,BSFC2CC,BSF44AD,BSF8BC4,BSF1120,BSF31CC,BSFAA61,BSFB165,BSFEC35",TABLE_COMMON_MODE_VIBRATION,9/9 table nodes exceed robust gyro activity,no persistent multi-anchor platform required,deduplicated LPD mean=4.133 Hz over named nodes; Listener is diagnostic only,HIGH,simultaneous operator contact
E046,1459,1460,T0+1459.000s,1,"BSF3C79,BSFC2CC,BSF44AD,BSF8BC4,BSF1120,BSF31CC,BSFAA61,BSFB165,BSFEC35",TABLE_COMMON_MODE_VIBRATION,6/9 table nodes exceed robust gyro activity,no persistent multi-anchor platform required,deduplicated LPD mean=4.056 Hz over named nodes; Listener is diagnostic only,HIGH,simultaneous operator contact
E047,1463,1464,T0+1463.000s,1,"BSF3C79,BSFC2CC,BSF44AD,BSF8BC4,BSF1120,BSF31CC,BSFAA61,BSFB165,BSFEC35",TABLE_COMMON_MODE_VIBRATION,9/9 table nodes exceed robust gyro activity,no persistent multi-anchor platform required,deduplicated LPD mean=3.611 Hz over named nodes; Listener is diagnostic only,HIGH,simultaneous operator contact
E048,1495,1500,T0+1495.000s,5,BSFAA61,UWB_RF_VISIBILITY_CHANGE,no coincident large gyro activity or gravity-platform change,"dominant single-link shift 450.2 mm; delta=154.5,25.2,-146.0,-8.0,17.0,-11.0,-450.2,-52.8 mm",deduplicated LPD mean=0.333 Hz over named nodes; Listener is diagnostic only,MEDIUM,temporary occlusion or multipath; no geometry-based position claim
E049,1501,1502,T0+1501.000s,1,"BSF3C79,BSFC2CC,BSF44AD,BSF8BC4,BSF1120,BSF31CC,BSFAA61,BSFB165,BSFEC35",TABLE_COMMON_MODE_VIBRATION,9/9 table nodes exceed robust gyro activity,no persistent multi-anchor platform required,deduplicated LPD mean=3.611 Hz over named nodes; Listener is diagnostic only,HIGH,simultaneous operator contact
E050,1501,1506,T0+1501.000s,5,BSF8BC4,UWB_RF_VISIBILITY_CHANGE,no coincident large gyro activity or gravity-platform change,"dominant single-link shift 304.0 mm; delta=10.2,-7.0,42.5,2.8,304.0,6.0,26.5,-19.5 mm",deduplicated LPD mean=8.333 Hz over named nodes; Listener is diagnostic only,MEDIUM,temporary occlusion or multipath; no geometry-based position claim
E051,1512,1513,T0+1512.000s,1,"BSF3C79,BSFC2CC,BSF44AD,BSF8BC4,BSF1120,BSF31CC,BSFAA61,BSFB165,BSFEC35",TABLE_COMMON_MODE_VIBRATION,9/9 table nodes exceed robust gyro activity,no persistent multi-anchor platform required,deduplicated LPD mean=3.722 Hz over named nodes; Listener is diagnostic only,HIGH,simultaneous operator contact
E052,1530,1535,T0+1530.000s,5,BSFB165,UWB_RF_VISIBILITY_CHANGE,no coincident large gyro activity or gravity-platform change,"dominant single-link shift 627.0 mm; delta=-2.8,627.0,-13.2,-5.0,0.0,11.5,-5.0,-0.2 mm",deduplicated LPD mean=4.667 Hz over named nodes; Listener is diagnostic only,MEDIUM,temporary occlusion or multipath; no geometry-based position claim
E053,1563,1564,T0+1563.000s,1,"BSF3C79,BSFC2CC,BSF44AD,BSF8BC4,BSF1120,BSF31CC,BSFAA61,BSFB165,BSFEC35",TABLE_COMMON_MODE_VIBRATION,6/9 table nodes exceed robust gyro activity,no persistent multi-anchor platform required,deduplicated LPD mean=3.389 Hz over named nodes; Listener is diagnostic only,HIGH,simultaneous operator contact
E054,1576,1581,T0+1576.000s,5,BSFB165,UWB_RF_VISIBILITY_CHANGE,no coincident large gyro activity or gravity-platform change,"dominant single-link shift 673.5 mm; delta=-1.5,-673.5,-5.2,0.8,-7.8,-28.5,-1.0,6.5 mm",deduplicated LPD mean=3.333 Hz over named nodes; Listener is diagnostic only,MEDIUM,temporary occlusion or multipath; no geometry-based position claim
E055,1670,1671,T0+1670.000s,1,"BSF3C79,BSFC2CC,BSF44AD,BSF8BC4,BSF1120,BSF31CC,BSFAA61,BSFB165,BSFEC35",TABLE_COMMON_MODE_VIBRATION,9/9 table nodes exceed robust gyro activity,no persistent multi-anchor platform required,deduplicated LPD mean=4.389 Hz over named nodes; Listener is diagnostic only,HIGH,simultaneous operator contact
E056,1738,1739,T0+1738.000s,1,"BSF3C79,BSFC2CC,BSF44AD,BSF8BC4,BSF1120,BSF31CC,BSFAA61,BSFB165,BSFEC35",TABLE_COMMON_MODE_VIBRATION,8/9 table nodes exceed robust gyro activity,no persistent multi-anchor platform required,deduplicated LPD mean=3.444 Hz over named nodes; Listener is diagnostic only,HIGH,simultaneous operator contact
E057,1779,1780,T0+1779.000s,1,"BSF3C79,BSFC2CC,BSF44AD,BSF8BC4,BSF1120,BSF31CC,BSFAA61,BSFB165,BSFEC35",TABLE_COMMON_MODE_VIBRATION,8/9 table nodes exceed robust gyro activity,no persistent multi-anchor platform required,deduplicated LPD mean=3.722 Hz over named nodes; Listener is diagnostic only,HIGH,simultaneous operator contact
