case_id,case_label,condition,frame_keep_fraction,anchor_keep,n_positions,frames_input_after_packet_drop_total,frames_solved_total,solve_fraction,position_err_3d_p50_mm,position_err_3d_p95_mm,position_err_3d_rmse_mm,sample_err_3d_p50_mm,sample_err_3d_p95_mm,sample_err_3d_rmse_mm,repeatability_d3_std_median_mm,stress_input_note
vicon_truth_delaycal,FULL Vicon-truth+delaycal v4-io/T4,frame_keep_75_all8,0.75,8,24,2168,2168,1.0,60.15265189285127,128.8636848685057,76.46311378200397,78.03525561366419,167.32668665683394,98.72983720460203,63.94290671389693,static raw frame replay with synthetic frame packet-drop and per-frame anchor observation dropout
vicon_truth_delaycal,FULL Vicon-truth+delaycal v4-io/T4,frame_keep_50_all8,0.5,8,24,1427,1427,1.0,61.361384181384345,131.80160829276963,78.28539901635133,79.37131003174112,167.0169856407036,97.68585836512779,56.20103083722782,static raw frame replay with synthetic frame packet-drop and per-frame anchor observation dropout
vicon_truth_delaycal,FULL Vicon-truth+delaycal v4-io/T4,frame_keep_25_all8,0.25,8,24,721,721,1.0,61.371126420563314,138.9169030315322,79.97247089648448,81.01149729211483,164.84835585826966,99.21189698719625,54.510517484678886,static raw frame replay with synthetic frame packet-drop and per-frame anchor observation dropout
vicon_truth_delaycal,FULL Vicon-truth+delaycal v4-io/T4,anchor_keep_7,1.0,7,24,2880,2880,1.0,66.58463704770067,149.57926598981464,88.09395585540707,98.88893616697854,202.51225239674272,120.41526956015721,81.26954963481974,static raw frame replay with synthetic frame packet-drop and per-frame anchor observation dropout
vicon_truth_delaycal,FULL Vicon-truth+delaycal v4-io/T4,anchor_keep_6,1.0,6,24,2880,2880,1.0,75.72865900104512,145.34864514712365,88.96397209704843,110.08697938399098,256.1987192436682,141.9751507581218,105.44773595645094,static raw frame replay with synthetic frame packet-drop and per-frame anchor observation dropout
vicon_truth_delaycal,FULL Vicon-truth+delaycal v4-io/T4,anchor_keep_5,1.0,5,24,2880,2880,1.0,66.37432699037942,139.7606856013088,85.08549834973995,126.6181572134112,318.8035615610775,171.13661699821478,127.5269517035918,static raw frame replay with synthetic frame packet-drop and per-frame anchor observation dropout
vicon_truth_delaycal,FULL Vicon-truth+delaycal v4-io/T4,anchor_keep_4,1.0,4,24,2880,2880,1.0,64.9965728940811,127.86993405739679,75.76449161033581,156.06113772589345,440.1131428662068,228.78184378201766,185.272707111958,static raw frame replay with synthetic frame packet-drop and per-frame anchor observation dropout
vicon_truth_delaycal,FULL Vicon-truth+delaycal v4-io/T4,frame_keep_50_anchor_keep_6,0.5,6,24,1407,1407,1.0,71.0040988628082,139.53896454033182,84.2058872447857,109.52926759078677,253.2685901057294,139.0988820203596,105.49304753923009,static raw frame replay with synthetic frame packet-drop and per-frame anchor observation dropout
vicon_truth_delaycal,FULL Vicon-truth+delaycal v4-io/T4,frame_keep_50_anchor_keep_4,0.5,4,24,1419,1419,1.0,61.79556549552994,123.46575984729587,79.601797439743,153.92852585029854,439.21549065234444,236.6211433646058,191.69252534754048,static raw frame replay with synthetic frame packet-drop and per-frame anchor observation dropout
scale_to_vicon_delaycal,FULL Sim(3)-scale-to-Vicon+delaycal v4-io/T4,baseline_all_frames_all8,1.0,8,24,2880,2880,1.0,69.27869076107181,134.77070309059482,82.86058507324957,83.84690007617978,174.06711035007316,102.31850734903814,60.37672513157115,static raw frame replay with synthetic frame packet-drop and per-frame anchor observation dropout
scale_to_vicon_delaycal,FULL Sim(3)-scale-to-Vicon+delaycal v4-io/T4,frame_keep_75_all8,0.75,8,24,2169,2169,1.0,66.24559071799965,134.160940590854,81.25133916672847,84.88199172722183,179.9064118952791,104.53655063350845,65.25872706391445,static raw frame replay with synthetic frame packet-drop and per-frame anchor observation dropout
scale_to_vicon_delaycal,FULL Sim(3)-scale-to-Vicon+delaycal v4-io/T4,frame_keep_50_all8,0.5,8,24,1404,1404,1.0,63.00375077575737,127.22628945201103,79.41354280737387,82.84967258185178,167.3088695088846,101.21244698947963,55.32442951262949,static raw frame replay with synthetic frame packet-drop and per-frame anchor observation dropout
scale_to_vicon_delaycal,FULL Sim(3)-scale-to-Vicon+delaycal v4-io/T4,frame_keep_25_all8,0.25,8,24,736,736,1.0,68.75430052168258,128.53411265127968,81.93550135491205,83.78759648827142,168.41564971520148,99.97268000057294,57.61496704502022,static raw frame replay with synthetic frame packet-drop and per-frame anchor observation dropout
scale_to_vicon_delaycal,FULL Sim(3)-scale-to-Vicon+delaycal v4-io/T4,anchor_keep_7,1.0,7,24,2880,2880,1.0,73.9417064221682,163.83041278938688,93.13881311375987,101.00518519401098,219.43725851318783,126.34548014020106,78.52054967056857,static raw frame replay with synthetic frame packet-drop and per-frame anchor observation dropout
scale_to_vicon_delaycal,FULL Sim(3)-scale-to-Vicon+delaycal v4-io/T4,anchor_keep_6,1.0,6,24,2880,2880,1.0,71.98981279199963,163.00147006561798,91.56059279421397,110.98873365569715,262.97079921599527,145.14015482308716,104.35998431065568,static raw frame replay with synthetic frame packet-drop and per-frame anchor observation dropout
scale_to_vicon_delaycal,FULL Sim(3)-scale-to-Vicon+delaycal v4-io/T4,anchor_keep_5,1.0,5,24,2880,2880,1.0,73.79501522887367,155.54728075169294,90.82457245897882,126.47842758608604,318.0600103459117,170.9231422446119,134.64483177319948,static raw frame replay with synthetic frame packet-drop and per-frame anchor observation dropout
scale_to_vicon_delaycal,FULL Sim(3)-scale-to-Vicon+delaycal v4-io/T4,anchor_keep_4,1.0,4,24,2880,2880,1.0,83.23888380162742,140.21788641678134,90.00638142955074,153.6431054936212,444.4645079798174,227.87884102136474,195.60128652057682,static raw frame replay with synthetic frame packet-drop and per-frame anchor observation dropout
scale_to_vicon_delaycal,FULL Sim(3)-scale-to-Vicon+delaycal v4-io/T4,frame_keep_50_anchor_keep_6,0.5,6,24,1456,1456,1.0,74.40431930236508,146.48405986415247,86.59860989254523,112.87231479090136,249.99496269982885,141.17959515985422,99.63890184751702,static raw frame replay with synthetic frame packet-drop and per-frame anchor observation dropout
scale_to_vicon_delaycal,FULL Sim(3)-scale-to-Vicon+delaycal v4-io/T4,frame_keep_50_anchor_keep_4,0.5,4,24,1469,1469,1.0,75.67050025458484,126.48610907377703,87.54633343712047,156.52706612308359,445.6460491818711,226.85045791318927,202.17699658743936,static raw frame replay with synthetic frame packet-drop and per-frame anchor observation dropout
one_baseline_EH_delaycal,FULL one-baseline E-H+delaycal v4-io/T4,baseline_all_frames_all8,1.0,8,24,2880,2880,1.0,60.625085145901146,127.86856943328927,77.45048393009291,79.5033820665727,177.30699357407994,102.03042078303454,64.0663036443076,static raw frame replay with synthetic frame packet-drop and per-frame anchor observation dropout
one_baseline_EH_delaycal,FULL one-baseline E-H+delaycal v4-io/T4,frame_keep_75_all8,0.75,8,24,2148,2148,1.0,61.45780207546815,124.08247702734312,76.61742521297522,80.55162622983681,170.4419863457286,99.22007072918854,64.51030208214014,static raw frame replay with synthetic frame packet-drop and per-frame anchor observation dropout
one_baseline_EH_delaycal,FULL one-baseline E-H+delaycal v4-io/T4,frame_keep_50_all8,0.5,8,24,1452,1452,1.0,59.66518533227945,129.0017853255238,77.22686148886565,80.37613400061436,168.93887436330363,99.79136530875174,60.88379862880207,static raw frame replay with synthetic frame packet-drop and per-frame anchor observation dropout
one_baseline_EH_delaycal,FULL one-baseline E-H+delaycal v4-io/T4,frame_keep_25_all8,0.25,8,24,686,686,1.0,67.41994193630214,126.50237470388568,79.87034256141052,81.02494063201725,172.38144734680026,101.93026267728557,59.53359817848309,static raw frame replay with synthetic frame packet-drop and per-frame anchor observation dropout
one_baseline_EH_delaycal,FULL one-baseline E-H+delaycal v4-io/T4,anchor_keep_7,1.0,7,24,2880,2880,1.0,66.51710847912418,158.0350035775625,91.57217488371721,91.9723276089386,227.84421224882664,122.52839193849547,76.25735268720973,static raw frame replay with synthetic frame packet-drop and per-frame anchor observation dropout
one_baseline_EH_delaycal,FULL one-baseline E-H+delaycal v4-io/T4,anchor_keep_6,1.0,6,24,2880,2880,1.0,65.89996105865714,138.60339382219362,87.10920637578774,104.96570009416322,272.24211684129756,141.55438188918575,100.79813295637311,static raw frame replay with synthetic frame packet-drop and per-frame anchor observation dropout
one_baseline_EH_delaycal,FULL one-baseline E-H+delaycal v4-io/T4,anchor_keep_5,1.0,5,24,2880,2880,1.0,68.32371273363736,161.25214665056677,95.56688011822665,114.96254345146802,344.6085656899958,173.33768897129394,139.4197838400164,static raw frame replay with synthetic frame packet-drop and per-frame anchor observation dropout
one_baseline_EH_delaycal,FULL one-baseline E-H+delaycal v4-io/T4,anchor_keep_4,1.0,4,24,2880,2880,1.0,63.84559797100246,163.83907260199942,90.13083444341967,147.46525213936098,445.88421729936624,224.91631366334,192.7601475929584,static raw frame replay with synthetic frame packet-drop and per-frame anchor observation dropout
one_baseline_EH_delaycal,FULL one-baseline E-H+delaycal v4-io/T4,frame_keep_50_anchor_keep_6,0.5,6,24,1441,1441,1.0,62.98419880529113,166.95432970087566,86.71728016282843,101.4471131273813,263.8634871343682,141.71260651592453,102.12654786953028,static raw frame replay with synthetic frame packet-drop and per-frame anchor observation dropout
one_baseline_EH_delaycal,FULL one-baseline E-H+delaycal v4-io/T4,frame_keep_50_anchor_keep_4,0.5,4,24,1449,1449,1.0,76.81254589334635,227.7202419499678,108.60648276174585,150.4339181458535,473.23839510717613,249.44768495970277,209.5509706719406,static raw frame replay with synthetic frame packet-drop and per-frame anchor observation dropout
